id_asistencia_legacy,id_miembro_legacy,id_evento_legacy,confirmacion,asistio,fecha_confirmacion,fecha_actualizacion
ASISTENCIA_36a080a3-1b81-48e7-88ee-123c9ea9f6ff,MIEMBRO_fdcc9309-b108-4b28-9ff5-8d7506d270fe,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 0:34:23,26/08/2026 19:33:25
ASISTENCIA_7a6c91f4-00ed-41a9-9273-71aee9b14e71,MIEMBRO_7cbbc1ef-2ec5-4bcd-8415-0fffb0dae397,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 0:40:01,26/08/2026 19:33:11
ASISTENCIA_dafd2bb0-e7dd-4fdd-9321-45ff154a5385,MIEMBRO_3a2d59fa-ec90-4b20-b4da-e8e58e71c917,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 7:06:29,26/08/2026 19:33:53
ASISTENCIA_fb8957ea-5798-4ec3-8741-f1cfe981fed1,MIEMBRO_e3e47272-f06a-4102-a727-ff1923355e77,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,NO_ASISTIRA,SI,24/08/2026 7:09:24,26/08/2026 19:34:08
ASISTENCIA_332e67fe-783f-4923-b941-ada008a58cc3,MIEMBRO_eff02eea-0c03-4924-a6e5-dd0d04964881,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 7:22:34,26/08/2026 19:34:44
ASISTENCIA_c851b4c5-e6ae-4bc6-9426-27630cfa6a86,MIEMBRO_5816c346-596f-4467-9030-5b383460636c,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,NO,24/08/2026 8:01:35,26/08/2026 19:36:12
ASISTENCIA_85eb9d5c-f75b-45d0-95b8-d27b4657e604,MIEMBRO_e534528d-024f-4b1f-a667-274bbd84696b,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 8:40:51,26/08/2026 19:36:33
ASISTENCIA_3a3d6fd8-0d23-4b38-940a-011776cc6db1,MIEMBRO_69a57cf8-5e73-430a-9f58-0bd2a74d567c,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,NO,24/08/2026 9:06:56,27/08/2026 8:00:32
ASISTENCIA_b2d18feb-deee-453a-b513-dd4fcbfe1d60,MIEMBRO_3684b8d4-2369-4b6e-a543-6ac4d4e336e7,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 9:46:48,26/08/2026 19:45:35
ASISTENCIA_e816b8c8-aa83-4a71-9b97-9bfa2c4da5e1,MIEMBRO_04738975-35fa-4392-ac06-29da5fc25572,EVENTO_8005b2b5-d2a8-4ce4-9914-233421937cb3,ASISTIRA,SI,24/08/2026 11:38:35,26/08/2026 20:04:50
